No	Info	Company Name	Address	Tax ID
1	TQM	บริษัท ทีคิวเอ็ม อัลฟา จำกัด (มหาชน)	123 ถนนลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230	0107561000307
2	BotnLife	บริษัท บอทแอนด์ไลฟ์ จำกัด	100 อาคารเจ.เพรส ทาวเวอร์ 1 ชั้นที่ 12 ถนนนางลิ้นจี่ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120	0105547132674
3	CPN Avatar	บริษั ท บอทแอนด์ไลฟ์ จํากัด	100 อาคารเจ.เพรส ทาวเวอร์ 1 ชั้นที่ 12 ถนนนางลิ้นจี่ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120	0105547132674
4	KBank Interest	KASIKORNBANK Public Company Limited	400/22 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400	0107536000315
